,camis,std_dba,building,street,boro,cuisine,insp_type,ts,grade,score,lat,long,county,year,tt_a,tt_b,tt_c
11148,41449878,CHRIS CARIBBEAN AMERICAN RESTAURANT,613A,Nostrand Avenue,Brooklyn,Caribbean,Cycle Inspection / Re-inspection,2022-06-17,A,0.0,40.676206038033,-73.949891776634,Kings,2022,A,,
11152,41450073,BIG FLEISHIGS EXPRESS,5508,16 Avenue,Brooklyn,Jewish/Kosher,Cycle Inspection / Re-inspection,2018-08-29,A,11.0,40.627559763959,-73.989138373724,Kings,2018,A,,
11154,41450097,NU HOTEL,85,Smith Street,Brooklyn,American,Cycle Inspection / Re-inspection,2023-01-03,A,12.0,40.688809492286,-73.989016576646,Kings,2023,A,,
11158,41450143,GATO VERDE SPORTS BAR,8214,Roosevelt Avenue,Queens,American,Cycle Inspection / Re-inspection,2022-01-31,A,13.0,40.747642816857,-73.88370200061,Queens,2022,A,,
11160,41450417,DELTA SKY CLUB BARTENDER SERVICE TERMINAL D DELTA DEPARTURE,0,La Guardia Airport,Queens,American,Cycle Inspection / Re-inspection,2017-09-14,A,10.0,40.774414029772,-73.877293351848,Queens,2017,A,,
11162,41450589,LA PERLA DEL ULUA RESTAURANT,354,Melrose Street,Brooklyn,Spanish,Cycle Inspection / Re-inspection,2022-11-12,A,11.0,40.70368330811,-73.928025504583,Kings,2022,A,,
11172,41450604,BAGELS CO,188-02,Union Turnpike,Queens,Jewish/Kosher,Cycle Inspection / Re-inspection,2022-12-01,A,12.0,40.729237284781,-73.781005725013,Queens,2022,A,,
11175,41451015,PRIVILEGE LOUNGE,140,Graham Avenue,Brooklyn,American,Cycle Inspection / Re-inspection,2019-11-08,A,13.0,40.706236140937,-73.943016199656,Kings,2019,A,,
11179,41451183,L AROMA DELI CAFE,62-54,Forest Avenue,Queens,Coffee/Tea,Cycle Inspection / Re-inspection,2022-11-15,A,7.0,40.712049652603,-73.905699214674,Queens,2022,A,,
11183,41451698,LUCYS CANTINA ROYALE,1,Penn Plaza,Manhattan,Mexican,Cycle Inspection / Re-inspection,2022-11-15,A,9.0,40.751091318302,-73.992925898182,New York,2022,A,,
11185,41451984,FAITHYS KITCHEN,3907,Dyre Avenue,Bronx,Caribbean,Cycle Inspection / Re-inspection,2022-06-16,B,22.0,40.889439965331,-73.831277296077,Bronx,2022,,B,
11190,41451985,BRANCACCIOS FOOD SHOP,3011,Fort Hamilton Parkway,Brooklyn,Sandwiches,Cycle Inspection / Re-inspection,2020-02-28,A,2.0,40.648393914504,-73.978569041424,Kings,2020,A,,
11194,41452090,MILON BANGLADESH INDIAN RESTAURANT,93,1 Avenue,Manhattan,Bangladeshi,Cycle Inspection / Re-inspection,2017-12-11,A,8.0,40.726176503184,-73.986326130772,New York,2017,A,,
11196,41452373,PEACHES HOTHOUSE,415,Tompkins Avenue,Brooklyn,Soul Food,Cycle Inspection / Re-inspection,2022-11-30,B,26.0,40.683287523776,-73.943890401437,Kings,2022,,B,
11206,41452375,OFRENDA,113,7 Avenue South,Manhattan,Mexican,Cycle Inspection / Re-inspection,2020-02-20,A,11.0,40.733879099742,-74.002634058792,New York,2020,A,,
11208,41452504,NIGHT,6011,7 Avenue,Brooklyn,Bottled Beverages,Cycle Inspection / Re-inspection,2020-03-07,B,18.0,40.636683320312,-74.011886375796,Kings,2020,,B,
11212,41452725,TASTE OF GEORGIA,1637,East 18 Street,Brooklyn,Eastern European,Cycle Inspection / Re-inspection,2022-11-17,A,7.0,40.609732507974,-73.955545897266,Kings,2022,A,,
11214,41453331,BEST WESTERN HOTEL HOSPITALITY HOUSE,145,East 49 Street,Manhattan,American,Cycle Inspection / Re-inspection,2022-11-17,A,7.0,40.755633503809,-73.97225029671,New York,2022,A,,
11215,41453878,BISTRO VENDOME,405,East 58 Street,Manhattan,French,Cycle Inspection / Re-inspection,2023-01-20,A,4.0,40.75881175216,-73.962026422211,New York,2023,A,,
11217,41454233,TASTY BITES,1456,Street John'S Place,Brooklyn,Caribbean,Cycle Inspection / Re-inspection,2022-11-23,A,13.0,40.670525029029,-73.930202711341,Kings,2022,A,,
11220,41454244,COSTA VERDE,94-59,Corona Avenue,Queens,Peruvian,Cycle Inspection / Re-inspection,2019-09-30,A,13.0,40.742302677986,-73.869482012319,Queens,2019,A,,
11223,41454384,K TOWN POHCA,34,West 32 Street,Manhattan,Korean,Cycle Inspection / Re-inspection,2019-06-22,A,12.0,40.747819056202,-73.987101227901,New York,2019,A,,
